bike_id,max_lag
29614,0-0 0 1:57:48.019
49457,0-0 0 2:4:53.652
49767,0-0 0 2:8:10.915
26274,0-0 0 2:23:42.545
42513,0-0 0 2:49:43.564
29636,0-0 0 2:52:25
48101,0-0 0 3:0:8.933
48125,0-0 0 3:17:41.254
29484,0-0 0 3:30:6
34894,0-0 0 3:37:5.746
42368,0-0 0 3:40:8.330
40737,0-0 0 4:5:43.473
29511,0-0 0 4:6:1.593
34462,0-0 0 4:17:36.061
24683,0-0 0 4:32:53
29218,0-0 0 4:37:44.841
29125,0-0 0 4:38:30.966
34487,0-0 0 4:41:36.961
47428,0-0 0 5:18:43.541
24388,0-0 0 5:22:52
39112,0-0 0 5:37:51.183
37955,0-0 0 5:43:53.967
34759,0-0 0 6:4:18.433
34897,0-0 0 6:9:49.416
29591,0-0 0 6:16:47
36934,0-0 0 6:20:9.260
34882,0-0 0 6:28:34.387
49497,0-0 0 6:40:52.791
48241,0-0 0 6:47:14.215
45850,0-0 0 7:9:1.957
37304,0-0 0 7:9:13.397
46589,0-0 0 7:18:0.947
26261,0-0 0 7:25:27.016
24697,0-0 0 7:28:38
34449,0-0 0 7:37:18.541
31867,0-0 0 7:41:59
24436,0-0 0 7:59:34
31815,0-0 0 8:7:4
26287,0-0 0 8:8:25
49305,0-0 0 8:16:17.184
29467,0-0 0 8:16:33
45396,0-0 0 8:16:39.562
29546,0-0 0 8:35:16.616
42133,0-0 0 8:47:13.888
29453,0-0 0 8:52:15.810
26154,0-0 0 9:5:53
37642,0-0 0 9:18:33.667
37152,0-0 0 9:19:38.274
30349,0-0 0 9:23:26
44801,0-0 0 9:30:58.594
21719,0-0 0 9:31:23
22778,0-0 0 9:32:45
42352,0-0 0 9:33:57.083
29520,0-0 0 9:36:28.167
47771,0-0 0 9:39:49.430
37386,0-0 0 9:44:2.376
34841,0-0 0 9:45:47.509
24551,0-0 0 9:51:38
48727,0-0 0 9:52:38.954
24567,0-0 0 10:3:8
37289,0-0 0 10:3:19.280
47839,0-0 0 10:6:27.478
24390,0-0 0 10:7:2
29248,0-0 0 10:15:57.069
39269,0-0 0 10:20:56.381
24578,0-0 0 10:29:3
49509,0-0 0 10:31:0.174
26262,0-0 0 10:31:45.395
29288,0-0 0 10:34:57.587
24718,0-0 0 10:35:25
45685,0-0 0 10:37:14.619
29273,0-0 0 10:49:38
37606,0-0 0 10:51:40.939
48435,0-0 0 10:58:38.675
39843,0-0 0 11:0:31.021
29660,0-0 0 11:0:46.732
29244,0-0 0 11:3:23.042
26283,0-0 0 11:7:15.363
39125,0-0 0 11:9:30.140
26233,0-0 0 11:9:55.451
48508,0-0 0 11:13:32.238
26267,0-0 0 11:14:23
24610,0-0 0 11:17:43
29701,0-0 0 11:20:40
49259,0-0 0 11:23:25.012
24606,0-0 0 11:36:49
36749,0-0 0 11:37:58.376
30444,0-0 0 11:43:40
34360,0-0 0 11:45:41.907
24543,0-0 0 11:56:35
26239,0-0 0 12:0:18
47510,0-0 0 12:3:37.374
22855,0-0 0 12:6:31
29611,0-0 0 12:8:15
36266,0-0 0 12:9:4.910
48960,0-0 0 12:9:41.612
29203,0-0 0 12:11:30.307
35282,0-0 0 12:16:10.856
49902,0-0 0 12:17:53.091
29581,0-0 0 12:20:18.967
26231,0-0 0 12:20:41
29441,0-0 0 12:22:45.132
29450,0-0 0 12:23:7.535
24415,0-0 0 12:26:10
45883,0-0 0 12:26:30.641
31897,0-0 0 12:27:26
49838,0-0 0 12:29:1.910
30905,0-0 0 12:30:13
29198,0-0 0 12:31:42
26221,0-0 0 12:37:59
24522,0-0 0 12:42:5
24600,0-0 0 12:43:10
24645,0-0 0 12:43:55
26268,0-0 0 12:45:59
47225,0-0 0 12:46:55.035
29530,0-0 0 12:50:6.916
24574,0-0 0 12:53:22
43999,0-0 0 12:54:27.463
37505,0-0 0 12:59:7.601
24476,0-0 0 13:4:1
34490,0-0 0 13:6:58.987
36282,0-0 0 13:19:11.168
47579,0-0 0 13:21:38.729
29669,0-0 0 13:23:2
