dock_name,dock_id,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23
Clinton St & Joralemon St,143,0.43548146823978079,0.42518128863528326,0.425756784968684,0.430503025718609,0.4311873318659819,0.43215532286212877,0.45990296803652908,0.51595844253088985,0.5257986738999415,0.45777857742593331,0.43859955726435929,0.42773119030980639,0.41846870604782049,0.42468005687877691,0.41463890891612543,0.418050042102731,0.40459811730629985,0.382771401243424,0.36594909047956486,0.37976398601398648,0.40207319898077426,0.42108866826429303,0.43693731712806727,0.43994396757272242
Nassau St & Navy St,144,0.46568904662545529,0.4670614359733527,0.45943378301348997,0.46683983754921893,0.46360794153374324,0.46830535652668137,0.47339491248734283,0.47434915773353736,0.48057131676775594,0.49057155671691316,0.50752419842710239,0.50960795036678141,0.51009372746935744,0.51214280242090016,0.50298226185619177,0.50791707952050646,0.49639416029862937,0.4916805647131835,0.487714214910692,0.49294288352460119,0.48713159762429464,0.48301788955146457,0.48313887568121022,0.48152627677421844
Hudson St & Reade St,146,,,,,,,,,,0.0975609756097561,0.17560975609756097,0.29268292682926833,0.4731707317073171,0.54268292682926833,0.61951219512195121,0.69512195121951215,0.71951219512195119,,,,,,,
Greenwich St & Warren St,147,0.31737483530961796,0.31865183134218733,0.31159807589524319,0.29437480248604225,0.295539096320347,0.29430852433685367,0.30626773188519313,0.40968036529680424,0.5718709177996032,0.67790861987753182,0.71328552702598447,0.70260205744076754,0.69327914291943127,0.70876381877938788,0.70466545070557751,0.71456708803538838,0.700480512546718,0.651198988277641,0.52538453008918307,0.42565992565992561,0.38669370049038138,0.35096028570990651,0.3416296838541425,0.33343161343161365
E 2 St & Avenue C,150,0.727366255144033,0.74147173489278762,0.76262626262626265,0.7578527894983591,0.77051101734646055,0.73122427983539118,0.744212962962963,0.68257359924026617,0.53292181069958844,0.31116327595200838,0.20622895622895623,0.15972222222222232,0.15632515632515628,0.149335232668566,0.14866255144032925,0.14889889889889893,0.17442442442442435,0.22977582846003905,0.28843995510662174,0.38143338143338146,0.48171589310829804,0.53537866224433361,0.62939814814814821,0.69913419913419916
Cleveland Pl & Spring St,151,,,,,,,0.10810810810810811,0.1891891891891892,0.1891891891891892,,0.28378378378378377,0.35135135135135137,0.56756756756756754,0.33783783783783783,0.12432432432432433,0.1801801801801802,0.22972972972972974,0.11891891891891891,0.17117117117117117,0.40540540540540543,0.11711711711711713,0.12162162162162163,,
Warren St & Church St,152,0.2791530754892827,0.28464274552408697,0.27415015896307188,0.26439930719571725,0.2599000852930427,0.2654725386524438,0.27143597068102315,0.29331743702616814,0.33388934813415216,0.41680687021784019,0.45853212581778718,0.48078080660417954,0.49835419930718383,0.50842426887821945,0.49823070431293637,0.5121525466353033,0.52570532915360446,0.5194755563394774,0.45530576452001004,0.365047991468183,0.32432432432432517,0.30355906384157322,0.29020810695569627,0.28809977989728547
E 40 St & 5 Ave,153,,,,,,0.052966101694915252,0.097928436911487754,0.16949152542372881,0.40677966101694912,0.60092449922958391,0.70056497175141241,0.68220338983050843,0.690677966101695,0.68135593220338975,0.6228813559322034,0.57966101694915251,0.60593220338983045,0.22033898305084745,0.074576271186440682,0.067796610169491525,,,,
Henry St & Atlantic Ave,157,0.68870575605443585,0.68485365160556966,0.68570988841862257,0.68369272912525758,0.68375763664943534,0.67347545368978956,0.66603460137935744,0.628808044957114,0.50633194041277174,0.37766877787831138,0.34451728616488336,0.33195675374692629,0.33881665812324285,0.35562867215041072,0.37715640715513316,0.40640917147008576,0.41775335618852377,0.45532588896808446,0.56329992049511124,0.65125015395984731,0.70455275352123581,0.71763268261774815,0.71477249055143821,0.70211622651051875
E 37 St & Lexington Ave,160,0.15309485725364749,0.15793237307181551,0.16055000978665115,0.16527063563590108,0.16870925684484991,0.16289592760180985,0.12001885112844955,0.0981518481518482,0.076779563719862109,0.0690964664474597,0.07105878040958441,0.083115453419567928,0.0955550437586367,0.10497041420118347,0.099368860627343,0.10481667864845444,0.11935929169840086,0.13288234450447015,0.13230208430694457,0.11716118314798589,0.12084031330646997,0.12936450946952682,0.15125249390379089,0.1541100820576804
LaGuardia Pl & W 3 St,161,,,0.68055555555555558,0.69444444444444442,0.69444444444444442,0.36111111111111105,0.3263888888888889,0.23290598290598288,0.25213675213675213,0.22685185185185186,0.1111111111111111,0.23148148148148145,0.2592592592592593,,,,,,,,,,,
E 47 St & 2 Ave,164,0.096129592321425747,0.093512153958331554,0.093539131609693169,0.099104369746453119,0.098439716312056974,0.10599148936170236,0.1027463957326165,0.11788728328607079,0.1780835437416218,0.34664862870495616,0.44404541979870049,0.44816233017175106,0.4426912365466274,0.42864715428590056,0.41851965170221112,0.40021251691418785,0.36049126448711266,0.26537627671939751,0.13660202856751552,0.092238560131769426,0.08708725298314289,0.092945128779395148,0.093195197700829846,0.09110600698048904
E 39 St & 3 Ave,167,0.10369550059472549,0.10724602002297712,0.10848173379546634,0.11085251271442095,0.11166331994645246,0.11348717948717948,0.11309508338748106,0.13660030627871333,0.1935826237196101,0.28660820880161447,0.29780180180180121,0.28526832408077857,0.26719153746770097,0.25964611172408181,0.25552231363749778,0.23226583592938738,0.19604329973870835,0.13480549387285151,0.096923950978005061,0.0825590190692307,0.0828852407010865,0.088039880048292413,0.094280762564991336,0.096004901960784428
W 18 St & 6 Ave,168,0.18778491549504481,0.17731362412213461,0.16886836567687644,0.16820060274664839,0.15972307208167974,0.16726186783875538,0.18116144123071359,0.21702835110804564,0.30438716682609074,0.5534922489946037,0.68826371847091983,0.7153504504885575,0.730300159595804,0.73075310764913792,0.713402436806692,0.69394570557269264,0.65127204647256409,0.55429155134932129,0.37959321857340045,0.30149825545597586,0.25700156345591724,0.220505183189565,0.20228803592430242,0.19494341144395086
Broadway & W 49 St,173,,,0.035714285714285712,,,,,,,,,,,,,,,,,,,,,
