dock_id,dock_name,hour,avail_bikes,avail_docks,tot_docks,avail_bikes_proportion,avail_docks_proportion
3498,Pleasant Ave & E 120 St,5,10.489010989010987,10.510989010989013,21.0,0.4994767137624278,0.5005232862375717
3498,Pleasant Ave & E 120 St,6,10.581952117863729,10.418047882136271,21.0,0.50390248180303376,0.49609751819696574
3498,Pleasant Ave & E 120 St,7,10.549718574108825,10.450281425891175,21.0,0.50236755114803922,0.4976324488519609
3498,Pleasant Ave & E 120 St,8,9.9623352165725017,11.037664783427498,21.0,0.47439691507488119,0.525603084925119
3498,Pleasant Ave & E 120 St,9,9.7421874999999929,11.257812500000007,21.0,0.46391369047619058,0.53608630952380965
3498,Pleasant Ave & E 120 St,10,9.2257462686567173,11.774253731343283,21.0,0.43932125088841495,0.56067874911158522
3498,Pleasant Ave & E 120 St,11,9.38148148148148,11.61851851851852,21.0,0.44673721340387962,0.55326278659611916
3498,Pleasant Ave & E 120 St,12,9.39259259259259,11.607407407407409,21.0,0.44726631393298061,0.55273368606701923
3498,Pleasant Ave & E 120 St,13,9.2622641509434036,11.737735849056596,21.0,0.44106019766397125,0.558939802336029
3498,Pleasant Ave & E 120 St,14,9.4263862332696018,11.573613766730396,21.0,0.44887553491760018,0.55112446508239921
3498,Pleasant Ave & E 120 St,15,9.3448940269749556,11.655105973025044,21.0,0.44499495366547409,0.5550050463345263
3498,Pleasant Ave & E 120 St,16,8.8856088560885649,12.114391143911435,21.0,0.42312423124231241,0.57687576875768831
3498,Pleasant Ave & E 120 St,17,9.1450094161958475,11.854990583804152,21.0,0.43547663886646942,0.56452336113353041
3498,Pleasant Ave & E 120 St,18,9.6033210332103245,11.396678966789676,21.0,0.45730100158144471,0.542698998418556
3498,Pleasant Ave & E 120 St,19,9.9726775956284115,11.027322404371589,21.0,0.47488940931563928,0.5251105906843615
3498,Pleasant Ave & E 120 St,20,10.268468468468473,10.731531531531527,21.0,0.48897468897468904,0.51102531102531112
3498,Pleasant Ave & E 120 St,21,10.401818181818173,10.598181818181827,21.0,0.49532467532467556,0.5046753246753245
