dock_id,date,hour,avail_bikes,avail_docks,tot_docks,avail_bikes_proportion,avail_docks_proportion,latitude,longitude
3453,19-04-30,6.0,1.0,18.0,19.0,0.052631578947368418,0.94736842105263153,40.713352255811728,-73.949103371741529
3241,19-04-30,6.0,4.5,14.5,19.0,0.23684210526315788,0.763157894736842,40.686203,-73.944694
3249,19-04-30,6.0,1.0,18.0,19.0,0.052631578947368418,0.94736842105263153,40.6803560840434,-73.9476791024208
291,19-04-30,6.0,17.5,2.5,20.0,0.875,0.125,40.713126,-73.984844
3063,19-04-30,6.0,2.0,18.0,20.0,0.1,0.9,40.69527008,-73.95238108
3047,19-04-30,6.0,5.0,16.0,21.0,0.23809523809523808,0.76190476190476186,40.682368716132984,-73.9441179969845
3525,19-04-30,6.0,0.0,21.0,21.0,0.0,1.0,40.776165,-73.9153175
3326,19-04-30,6.0,16.0,5.0,21.0,0.76190476190476186,0.23809523809523808,40.67434,-74.00194698
3422,19-04-30,6.0,12.5,8.5,21.0,0.59523809523809523,0.40476190476190477,40.6859296,-74.00242364
3420,19-04-30,6.0,4.0,17.0,21.0,0.19047619047619047,0.80952380952380953,40.6802133,-73.98432695
3311,19-04-30,6.0,19.5,1.5,21.0,0.9285714285714286,0.071428571428571425,40.68763158162438,-74.0016255855426
3352,19-04-30,6.0,17.0,4.0,21.0,0.80952380952380953,0.19047619047619047,40.672672434109479,-74.0087952464819
3080,19-04-30,6.0,8.0,13.0,21.0,0.38095238095238093,0.61904761904761907,40.70934,-73.95608
3528,19-04-30,6.0,1.0,20.0,21.0,0.047619047619047616,0.95238095238095233,40.7713937,-73.9077436
3498,19-04-30,6.0,11.0,10.0,21.0,0.52380952380952384,0.47619047619047616,40.7974772,-73.9311847
3050,19-04-30,6.0,13.0,8.0,21.0,0.61904761904761907,0.38095238095238093,40.6851532,-73.94111
3319,19-04-30,6.0,19.0,2.0,21.0,0.90476190476190477,0.095238095238095233,40.666286973562578,-73.9889505310162
3347,19-04-30,6.0,17.5,3.5,21.0,0.83333333333333326,0.16666666666666666,40.6773429,-74.01275056
3061,19-04-30,6.0,4.0,17.0,21.0,0.19047619047619047,0.80952380952380953,40.69622937,-73.94371094
3513,19-04-30,6.0,6.0,15.0,21.0,0.2857142857142857,0.7142857142857143,40.774645,-73.923706
3340,19-04-30,6.0,21.0,0.0,21.0,1.0,0.0,40.6753274,-74.0100698
3381,19-04-30,6.0,12.0,9.0,21.0,0.5714285714285714,0.42857142857142855,40.6777287,-73.99364123
3394,19-04-30,6.0,15.0,6.0,21.0,0.7142857142857143,0.2857142857142857,40.6769993,-74.00647134
3456,19-04-30,6.0,8.5,13.5,22.0,0.38636363636363635,0.61363636363636365,40.71638027450792,-73.948212717780976
3413,19-04-30,6.0,10.0,12.0,22.0,0.45454545454545459,0.54545454545454541,40.6827549,-73.98258555
3511,19-04-30,6.0,15.0,7.0,22.0,0.68181818181818177,0.31818181818181818,40.802535,-73.9532423
3168,19-04-30,6.0,18.5,12.5,31.0,0.59677419354838712,0.40322580645161288,40.784726751427506,-73.969617157224292
3510,19-04-30,6.0,8.0,23.0,31.0,0.25806451612903225,0.74193548387096775,40.807831638419039,-73.949373020616832
3130,19-04-30,6.0,18.0,13.0,31.0,0.58064516129032262,0.41935483870967744,40.75325964,-73.94335788
3232,19-04-30,6.0,3.0,28.0,31.0,0.0967741935483871,0.90322580645161288,40.689621887903328,-73.983042687177658
243,19-04-30,6.0,18.0,13.0,31.0,0.58064516129032251,0.41935483870967738,40.688208131116973,-73.979230119870522
3109,19-04-30,6.0,26.0,5.0,31.0,0.83870967741935476,0.16129032258064516,40.72606,-73.95621
3148,19-04-30,6.0,27.0,4.0,31.0,0.87096774193548387,0.12903225806451613,40.775655412918155,-73.950686144189348
390,19-04-30,6.0,3.0,28.0,31.0,0.0967741935483871,0.90322580645161288,40.692215887864229,-73.9842843872936
3509,19-04-30,6.0,9.5,21.5,31.0,0.30645161290322581,0.69354838709677424,40.801193865065109,-73.950073897837612
3490,19-04-30,6.0,5.0,26.0,31.0,0.16129032258064516,0.83870967741935487,40.796879006291917,-73.937261038427565
3131,19-04-30,6.0,1.0,30.0,31.0,0.032258064516129031,0.967741935483871,40.76712840349542,-73.962246179580688
503,19-04-30,6.0,3.0,28.0,31.0,0.0967741935483871,0.90322580645161288,40.738274271947091,-73.987519689355
3175,19-04-30,6.0,13.0,18.0,31.0,0.41935483870967738,0.58064516129032251,40.77748045114182,-73.982885940682465
3366,19-04-30,6.0,5.0,26.0,31.0,0.16129032258064516,0.83870967741935476,40.8021174,-73.9681805305
3235,19-04-30,6.0,3.5,27.5,31.0,0.11290322580645161,0.88709677419354838,40.752165280621966,-73.979921936988816
3516,19-04-30,6.0,1.5,29.5,31.0,0.048387096774193547,0.95161290322580649,40.7699176,-73.9184057
3410,19-04-30,6.0,27.0,4.0,31.0,0.87096774193548387,0.12903225806451613,40.6864442,-73.98759104
539,19-04-30,6.0,3.5,27.5,31.0,0.11290322580645161,0.88709677419354838,40.71534825,-73.96024116
516,19-04-30,6.0,1.5,29.5,31.0,0.048387096774193547,0.95161290322580649,40.752068618918216,-73.967843842461846
224,19-04-30,6.0,1.0,30.0,31.0,0.032258064516129031,0.967741935483871,40.71146364,-74.00552427
3338,19-04-30,6.0,11.0,20.0,31.0,0.35483870967741937,0.64516129032258063,40.7862586,-73.94552579
416,19-04-30,6.0,15.5,15.5,31.0,0.5,0.5,40.68753406,-73.97265183
3307,19-04-30,6.0,24.5,6.5,31.0,0.79032258064516125,0.20967741935483869,40.794165397850271,-73.974123998388364
3137,19-04-30,6.0,3.0,28.0,31.0,0.0967741935483871,0.90322580645161288,40.77282817194925,-73.966852773014438
3354,19-04-30,6.0,25.0,6.0,31.0,0.80645161290322576,0.19354838709677419,40.668131996851564,-73.973638318626982
312,19-04-30,6.0,13.5,17.5,31.0,0.43548387096774194,0.564516129032258,40.722055,-73.989111
3500,19-04-30,6.0,18.5,12.5,31.0,0.59677419354838712,0.40322580645161288,40.7989445,-73.944846
3122,19-04-30,6.0,12.0,19.0,31.0,0.38709677419354838,0.61290322580645162,40.744363241575456,-73.955873255190781
3158,19-04-30,6.0,24.5,6.5,31.0,0.79032258064516125,0.20967741935483869,40.77163852214548,-73.982614283440924
238,19-04-30,6.0,23.0,8.0,31.0,0.74193548387096775,0.25806451612903225,40.736196703546341,-74.008592076215621
3493,19-04-30,6.0,5.5,25.5,31.0,0.17741935483870969,0.82258064516129026,40.799139,-73.9389152
365,19-04-30,6.0,17.5,13.5,31.0,0.564516129032258,0.43548387096774194,40.68223166,-73.9614583
334,19-04-30,6.0,8.0,23.0,31.0,0.25806451612903225,0.74193548387096775,40.742387873439483,-73.9972623541448
3314,19-04-30,6.0,13.0,19.0,32.0,0.40625,0.59375,40.7937704,-73.971888
3505,19-04-30,6.0,3.5,29.5,33.0,0.10606060606060606,0.89393939393939392,40.805726,-73.936322
319,19-04-30,6.0,2.0,31.0,33.0,0.060606060606060608,0.93939393939393945,40.711390149752759,-74.009437006145234
3112,19-04-30,6.0,28.5,4.5,33.0,0.86363636363636365,0.13636363636363635,40.729059992827224,-73.957790008187771
3236,19-04-30,6.0,31.0,2.0,33.0,0.93939393939393945,0.060606060606060608,40.758984809405945,-73.993799692026769
3477,19-04-30,6.0,12.0,21.0,33.0,0.36363636363636365,0.63636363636363635,40.655399774478312,-74.010627865791321
3418,19-04-30,6.0,10.5,22.5,33.0,0.31818181818181818,0.68181818181818188,40.6750207,-73.97111473
3425,19-04-30,6.0,20.5,12.5,33.0,0.62121212121212122,0.37878787878787878,40.7892105,-73.94370784
3075,19-04-30,6.0,7.0,26.0,33.0,0.21212121212121213,0.78787878787878785,40.70708701,-73.95796783
3414,19-04-30,6.0,27.0,6.0,33.0,0.81818181818181812,0.18181818181818182,40.680944723477296,-73.975673317909227
3077,19-04-30,6.0,22.0,11.0,33.0,0.66666666666666674,0.33333333333333337,40.708770856086382,-73.950952577533172
3459,19-04-30,6.0,2.0,32.0,34.0,0.058823529411764705,0.94117647058823528,40.757632277394428,-73.969305753707886
406,19-04-30,6.0,25.5,8.5,34.0,0.75,0.25,40.69512845,-73.99595065
394,19-04-30,6.0,29.0,5.0,34.0,0.8529411764705882,0.14705882352941177,40.72521311,-73.97768752
3126,19-04-30,6.0,7.5,26.5,34.0,0.22058823529411764,0.77941176470588225,40.747182323602523,-73.943263510214265
3362,19-04-30,6.0,0.5,33.5,34.0,0.014705882352941176,0.98529411764705888,40.7781314,-73.96069399
3533,19-04-30,6.0,8.0,26.0,34.0,0.23529411764705882,0.76470588235294112,40.8114323,-73.9518776
3478,19-04-30,6.0,22.0,21.0,43.0,0.51162790697674421,0.48837209302325579,40.65708862420859,-74.008702090360842
3163,19-04-30,6.0,28.0,15.0,43.0,0.65116279069767447,0.34883720930232559,40.7734066,-73.97782542
355,19-04-30,6.0,33.5,9.5,43.0,0.77906976744186052,0.22093023255813954,40.71602118,-73.99974372
386,19-04-30,6.0,15.5,27.5,43.0,0.36046511627906974,0.63953488372093026,40.71494807,-74.00234482
