bike_id,Manhattan,Brooklyn,Queens
33960,4208946,1038389,157946
27608,4516059,684763,166021
26672,4601310,1134104,110952
30316,2091315,376250,56908
15536,9176401,2751832,96906
36197,208378,34304,5487
32674,5056032,750204,70618
16130,6908690,1064046,108230
28714,3148413,2039525,213614
23523,1814510,232121,20128
26063,3827787,751508,74300
14974,6418868,1584859,190049
18856,7325392,1274281,197906
33347,3330559,1254182,123549
18603,6513759,1258618,91444
30511,4297139,1288103,115356
23366,2194487,303373,20561
35726,706094,119742,29842
31006,3282883,1983726,86864
17791,2595574,840419,122168
31362,3843362,2088465,74642
27291,3654276,905084,69722
28992,2770081,513124,42464
24975,5878100,993863,35673
31157,2756986,656980,95086
29743,3183302,2625962,182321
22214,2434007,358534,28568
29784,6522208,1291112,96881
39010,1972679,602172,81340
27740,3789836,1461277,80985
32622,3537329,948053,119783
18664,7831687,1454829,98459
32619,3434833,692273,149203
19463,6058355,967877,83898
20239,7302544,1106536,98193
31120,4229948,671126,121963
45395,707165,151742,8438
16378,7228349,1158600,87104
30265,3758086,863496,156566
27057,3860179,764052,150078
39859,2144257,636109,126126
38439,2475646,690533,89906
31939,2146279,2259783,99328
19405,7234949,1895346,99401
15648,7482403,1428394,75479
32719,3625855,969282,145007
47298,475807,145485,42901
21235,5887233,1046607,123373
21994,1728211,342558,20826
38362,2661620,557788,50407
15890,7413976,1563813,120262
32262,2833410,634794,105163
30647,4248856,1082610,98412
42008,2166635,438194,160087
20944,5667958,965872,184502
21112,6559205,1288344,125694
29776,4643106,1231657,239259
18253,6001828,928256,148300
19494,7855126,1669720,115817
48525,454537,208151,46387
38550,2671200,580232,118295
32023,3696437,711847,85909
26026,4055176,946039,66966
26589,3132071,873713,136353
24865,4450634,757375,111897
47682,1016459,252989,22951
16325,6432362,1102572,84097
35899,1291452,530196,104664
27018,4264648,871481,46749
27619,2754331,1009549,114406
31110,3321650,726117,107237
35309,1745624,519905,42540
25817,4304342,1004554,80402
32420,3418661,640152,71243
34345,4127896,919862,68561
16294,6034953,1039980,70077
