occurance,start_station_id,start_lat,start_lon
996,3875.0,40.6988,-73.9007
12414,3914.0,40.783786,-73.981687
1064,4028.0,40.830702,-73.936371
37539,4044.0,40.75461,-73.99177
491,4050.0,40.833303,-73.939326
366,4165.0,40.82809,-73.91288
291711,173.0,40.76068327096592,-73.9845272898674
291711,173.0,40.761,-73.986
291711,173.0,40.76064679,-73.98442659
186449,362.0,40.75172632,-73.98753523
186449,362.0,40.752,-73.989
24451,3069.0,40.70411791,-73.94818595
58142,3125.0,40.74708586,-73.94977234
58142,3125.0,40.746,-73.95
146768,3143.0,40.776321421822708,-73.964273929595947
146768,3143.0,40.776828634399678,-73.963887691497789
146768,3143.0,40.776,-73.965
58401,3366.0,40.8021174,-73.9681805305
15465,3589.0,40.7668,-73.9347774
46624,3593.0,40.761584,-73.925921
30042,3611.0,40.7449067,-73.9534573
29454,3623.0,40.8109494,-73.9634
187506,3711.0,40.731,-73.98
187506,3711.0,40.729667293929779,-73.980679661035538
538,4104.0,40.818212,-73.955277
31,4252.0,40.827629,-73.886659
18,4308.0,40.838315,-73.912604
166489,2010.0,40.72170005235607,-74.002381414175019
166489,2010.0,40.72165481,-74.00234737
51589,3083.0,40.71247661,-73.94100005
19606,3322.0,40.668,-73.989
19606,3322.0,40.668603,-73.9904394
6890,3395.0,40.6763744,-74.00324957
70924,3400.0,40.797,-73.947
70924,3400.0,40.7961535,-73.94782145
18083,3489.0,40.710699946313873,-74.003541469573975
32290,3788.0,40.73269,-73.98974
99081,3812.0,40.734814,-73.992085
99081,3812.0,40.734,-73.992
5505,3822.0,40.70076,-73.93641
2046,3897.0,40.70863,-73.91497
1342,4088.0,40.843965,-73.920999
439,4111.0,40.742751796489948,-73.9847157150507
49373,243.0,40.687979,-73.978474
49373,243.0,40.688226,-73.979382
49373,243.0,40.68841,-73.979458
92144,294.0,40.73049393,-73.9957214
124652,367.0,40.75828065,-73.97069431
402565,442.0,40.746647,-73.993915
254201,500.0,40.761,-73.983
254201,500.0,40.76228826,-73.98336183
71488,3085.0,40.71469,-73.95739
44784,3254.0,40.69231660719192,-74.014865756034851
58738,3335.0,40.6772744,-73.98282002
8246,3353.0,40.6747844,-74.01612847
42394,3396.0,40.6783563,-74.00014502
14985,3561.0,40.7531106,-73.9279917
11455,3577.0,40.7628138,-73.9342862
1,3633.0,0.0,0.0
20360,3714.0,40.706842031013252,-73.9544353965357
5277,3844.0,40.69943,-73.91337
5012,4002.0,40.820877,-73.939249
137,4091.0,40.829797,-73.931015
79,4183.0,40.839229,-73.899047
37,4250.0,40.818725699901158,-73.888624906539917
226703,254.0,40.73532427,-73.99800419
106574,258.0,40.68940747,-73.96885458
212819,309.0,40.7149787,-74.013012
271573,325.0,40.73624527,-73.98473765
119557,341.0,40.71782143,-73.97628939
33460,409.0,40.6906495,-73.95643107
179917,511.0,40.72938685,-73.97772429
100750,3172.0,40.7785669,-73.97754961
916,3229.0,40.680617684554512,-73.946249485015869
48680,3319.0,40.666287,-73.98895053
48680,3319.0,40.665,-73.989
95901,3660.0,40.741021509002657,-74.001384973526
5742,3831.0,40.68663,-73.9168
8825,3911.0,40.683426,-73.984275
6484,3928.0,40.813539,-73.94521
4182,3932.0,40.816576,-73.927987
1743,3955.0,40.808891,-73.91081
3154,3973.0,40.827212,-73.942722
374,4031.0,40.81989,-73.908351
1752,4079.0,40.828847,-73.91769
13,4260.0,40.769673,-73.906018
204495,217.0,40.70277159,-73.99383605
438030,229.0,40.72743423,-73.99379025
219516,440.0,40.75255434,-73.97282625
219516,440.0,40.752,-73.974
190658,489.0,40.75066386,-74.00176802
321106,531.0,40.71893904,-73.99266288
73673,3328.0,40.795,-73.9645
73673,3328.0,40.794,-73.965
3277,3769.0,40.707174,-73.93581
736,4078.0,40.823732,-73.919379
229,4180.0,40.830025,-73.886312
10,4273.0,40.769219,-73.901001
178066,415.0,40.7047177,-74.00926027
37323,443.0,40.70853074,-73.96408963
71379,3312.0,40.782,-73.947
71379,3312.0,40.7817212,-73.94594
87496,3418.0,40.6750207,-73.97111473
17288,3499.0,40.8006721,-73.9349
21333,3545.0,40.8120562,-73.9612547
14598,3582.0,40.6721683,-73.9609
12827,3608.0,40.7423737,-73.9566
792,4201.0,40.83999,-73.90549
64730,120.0,40.68676793,-73.95928168
2618,3133.0,40.767342591432168,-73.9648586511612
2618,3133.0,40.76735637,-73.96493528
176900,3147.0,40.779,-73.953
176900,3147.0,40.77801203,-73.95407149
22470,3179.0,40.698617,-73.941342
53338,3373.0,40.6750705,-73.98775226
18867,3528.0,40.7713937,-73.9077436
41737,3539.0,40.806,-73.962
41737,3539.0,40.8067581,-73.9607082
12752,3566.0,40.7596276,-73.9321455
22354,3619.0,40.7713615,-73.9246145
