year,day_of_week,hour_of_day,minute,num_rides
2016,2,0,28,192
2017,1,0,8,536
2017,2,0,53,172
2017,7,0,42,393
2016,6,0,26,351
2017,4,0,58,154
2017,1,0,33,481
2017,3,0,12,315
2017,6,0,5,497
2016,5,0,58,168
2020,3,0,35,318
2020,4,0,31,348
2020,2,0,55,260
2020,3,0,50,238
2020,1,0,30,731
2020,4,0,8,457
2018,3,0,48,192
2020,1,0,29,749
2020,2,0,24,324
2018,2,0,47,206
2018,7,0,17,543
2018,1,0,3,590
2018,7,0,28,533
2019,3,0,12,370
2021,6,0,55,21
2020,7,0,42,590
2020,3,0,15,375
2018,7,0,7,677
2019,5,0,18,374
2019,5,0,6,476
2020,1,0,21,731
2018,1,0,0,623
2020,6,0,30,435
2021,1,0,3,35
2019,4,0,49,274
2018,1,0,56,428
2018,6,0,8,494
2018,3,0,0,366
2018,6,0,49,345
2020,6,0,14,494
2018,3,0,31,214
2020,2,0,40,280
2018,2,0,30,224
2021,6,0,30,25
2019,5,0,40,320
2019,7,0,43,583
2018,7,0,56,418
2018,4,0,20,312
2020,1,0,12,777
2020,5,0,54,269
2018,5,0,22,343
2019,3,0,33,258
2020,2,0,12,452
2019,1,0,52,629
2020,5,0,55,258
2018,7,0,24,511
2020,3,0,1,427
2018,7,0,3,657
2018,1,0,6,630
2019,1,0,38,657
2018,5,0,2,483
2018,1,0,8,601
2019,6,0,39,391
2020,6,0,7,573
2020,5,0,17,412
2019,5,0,9,493
2018,5,0,12,405
2020,4,0,30,373
2019,1,0,15,733
2019,6,0,27,444
2018,3,0,9,329
2018,1,0,50,471
2018,1,0,57,434
2020,2,0,25,348
2018,1,0,46,446
2018,3,0,41,224
2019,6,0,55,333
2020,5,0,31,344
2020,7,0,14,733
2018,4,0,9,403
2019,6,0,29,410
2021,4,0,24,14
2019,7,0,14,719
2020,1,0,19,753
2019,1,0,23,720
2019,4,0,48,252
2019,1,0,16,738
2019,6,0,19,461
2020,1,0,33,647
2018,6,0,40,327
2018,6,0,12,511
2021,6,0,47,18
2021,2,0,1,21
2021,2,0,32,11
2019,1,0,58,621
2019,2,0,58,198
2019,1,0,14,761
2019,7,0,22,739
2018,4,0,30,302
2018,4,0,11,388
2020,1,0,52,609
2018,4,0,40,236
2019,2,0,55,205
2020,6,0,4,580
2020,3,0,56,241
2020,2,0,18,376
2020,1,0,14,766
2020,5,0,39,304
2020,1,0,13,766
2018,1,0,7,590
2019,7,0,26,669
2020,7,0,50,563
2019,2,0,47,244
2019,5,0,8,495
2018,6,0,57,254
2020,1,0,25,736
2020,4,0,59,262
2020,6,0,45,375
2019,1,0,54,595
2019,4,0,28,324
2018,7,0,19,598
2018,2,0,31,213
2018,2,0,9,361
2018,3,0,49,195
2020,7,0,34,598
2020,5,0,23,385
2018,1,0,13,586
2020,5,0,8,549
2019,1,0,26,754
2019,7,0,17,689
2021,5,0,37,15
2020,1,0,57,609
2020,7,0,4,857
2019,7,0,10,797
2018,3,0,38,237
2018,3,0,50,214
2020,6,0,5,620
2020,1,0,31,677
2019,7,0,36,588
2019,1,0,40,636
2020,7,0,36,667
2020,1,0,10,787
2018,4,0,2,431
2020,1,0,58,563
2019,1,0,17,720
2018,6,0,17,428
2018,3,0,36,225
2018,4,0,49,228
2018,2,0,0,332
2019,2,0,54,249
2020,3,0,18,357
2020,1,0,20,750
2020,4,0,9,461
2019,5,0,4,454
2019,2,0,9,357
2018,1,0,48,428
2020,2,0,36,299
2018,4,0,1,384
2019,1,0,55,605
2018,4,0,31,282
2020,5,0,1,516
2020,5,0,59,248
2019,6,0,7,570
2020,6,0,58,308
2019,2,0,17,310
2019,3,0,24,301
2020,5,0,28,371
2018,2,0,44,207
2018,7,0,52,456
2020,5,0,57,278
2019,5,0,47,285
2018,6,0,45,296
2018,3,0,52,202
2020,4,0,16,398
2019,2,0,12,348
2020,3,0,39,274
2019,5,0,56,247
2019,2,0,53,244
2020,4,0,55,257
2018,1,0,29,490
2020,7,0,28,636
2019,3,0,9,391
2020,2,0,30,318
2020,1,0,50,581
2018,6,0,2,510
2018,6,0,34,342
2020,1,0,42,647
2018,7,0,38,471
2018,6,0,44,330
2018,1,0,58,430
2018,6,0,24,407
2019,2,0,38,262
2018,7,0,10,608
2020,5,0,45,279
2019,7,0,24,722
2020,7,0,55,539
2020,3,0,31,282
2019,1,0,11,713
2018,7,0,6,637
2019,4,0,3,443
2018,2,0,2,324
2018,3,0,1,382
2019,1,0,34,701
2018,5,0,19,335
2020,4,0,33,365
2020,1,0,7,867
2020,7,0,10,795
2019,2,0,21,384
2018,1,0,51,453
2020,5,0,9,512
2019,3,0,50,230
2020,7,0,5,773
2020,6,0,24,434
