year,day_of_week,hour_of_day,num_rides
2019,4,4,6358
2018,5,4,4418
2018,7,6,14909
2018,2,1,8046
2018,4,5,22255
2021,2,16,13478
2021,3,12,8149
2021,5,10,7449
2021,5,20,5845
2021,4,16,13033
2018,2,0,15200
2021,2,19,8410
2021,6,21,2859
2021,1,1,1264
2019,2,5,23462
2021,5,17,14888
2021,4,5,1408
2021,5,11,7842
2021,3,16,12192
2021,4,10,7411
2018,7,3,7661
2021,6,20,5088
2018,2,3,3028
2018,6,1,11986
2021,4,15,11559
2019,7,4,7216
2021,1,23,1483
2020,2,5,16941
2021,6,3,514
2021,5,0,967
2021,1,21,2747
2019,2,4,5574
2021,1,9,5616
2018,1,4,5166
2018,4,2,4619
2021,5,22,2731
2021,4,4,374
2019,3,3,3447
2019,5,5,24467
2020,7,5,7961
2018,7,4,5301
2019,5,4,6011
2018,5,3,2917
2021,4,3,215
2021,7,4,239
2016,4,12,94494
2015,4,15,78489
2016,2,17,214610
2017,5,17,268543
2016,5,21,70701
2018,7,9,103758
2014,6,14,70819
2020,6,8,146175
2018,6,12,130856
2020,5,12,144161
2016,4,9,166795
2020,2,18,256756
2016,2,18,215735
2016,2,11,73457
2018,3,17,276970
2020,3,11,119405
2020,1,13,256766
2015,7,9,51299
2015,4,17,161820
2016,6,14,121244
2015,5,17,153101
2017,2,10,87097
2015,6,18,125610
2018,5,16,177069
2016,1,16,138602
2019,1,0,42125
2017,2,16,155518
2020,7,14,279295
2019,3,22,71515
2018,6,16,199236
2014,4,13,56371
2015,7,10,70577
2018,1,12,159729
2014,2,11,45781
2013,6,7,36696
2014,4,7,66469
2016,3,9,148216
2016,4,13,97265
2015,4,7,90978
2016,6,21,53810
2015,3,8,150752
2015,6,16,117922
2015,3,19,106755
2016,4,7,134149
2016,6,20,77485
2017,5,19,178355
2020,5,21,82443
2017,4,15,136069
2019,2,11,109181
2015,2,19,108393
2016,7,15,144829
2020,5,17,273770
2017,5,6,68571
2016,1,10,86912
2020,2,10,102899
2018,4,18,278658
2017,2,12,102228
2020,2,7,106031
2015,2,11,55118
2017,1,17,159346
2017,1,16,169281
2021,1,18,7138
2021,6,2,704
2017,3,11,91927
2020,6,19,190320
2017,2,15,124524
2016,2,19,145633
2020,5,16,210431
2017,3,8,255726
2014,1,9,34805
2019,4,18,302454
2017,2,19,170365
2017,6,11,99915
2016,5,8,226656
2019,6,15,194035
2015,6,9,107512
2021,7,14,18985
2018,2,11,95791
2017,5,10,102304
2020,1,15,276634
2021,4,23,1637
2020,4,17,285078
2020,1,0,42403
2017,6,10,100297
2021,3,7,8372
2016,5,19,151286
2018,4,17,286111
2019,7,14,238719
2019,6,13,160898
2018,5,0,19228
2017,3,19,166988
2017,2,20,111103
2018,2,8,232827
2018,5,9,197616
2020,1,19,160829
2016,2,22,42639
2015,6,21,39426
2016,2,5,12675
2018,5,20,126358
2020,7,17,257771
2021,3,10,7332
2020,6,16,230146
2016,3,8,213784
2017,6,14,139721
2017,6,20,89667
2018,1,17,161023
2020,5,15,183069
2020,1,11,193187
2017,2,14,116125
2016,4,10,90750
2020,4,7,129533
2017,4,21,86134
2021,1,12,13229
2016,7,19,87283
2018,1,14,169548
2016,3,18,230720
2016,3,16,135020
2016,1,15,141043
2017,3,23,32176
