occurance,start_station_id,start_lat,start_lon
56071,3152.0,40.76873687,-73.96119945
191239,3156.0,40.767,-73.953
191239,3156.0,40.76663814,-73.95348296
8,3215.0,0.0,0.0
1544,4006.0,40.814673,-73.91839
464648,505.0,40.74901271,-73.98848395
464648,505.0,40.749,-73.989
146184,3170.0,40.78499979,-73.97283406
214536,3236.0,40.758,-73.995
214536,3236.0,40.758984813996342,-73.993799686431885
419592,472.0,40.7457121,-73.98194829
419592,472.0,40.746,-73.983
56840,3809.0,40.763189,-73.978434
56840,3809.0,40.763201,-73.978458
9,4320.0,40.776168,-73.910485
9,4330.0,40.766824,-73.930486
9,4289.0,40.77813,-73.90842
9,3470.0,40.669801930896163,-73.994904756546021
134409,3463.0,40.735367055605394,-73.987973928451538
134409,3463.0,40.734,-73.989
70409,3078.0,40.70925562,-73.95982218
70409,3078.0,40.71,-73.962
70409,3078.0,40.709248262761569,-73.960631489753723
144137,3656.0,40.723077490686727,-73.985836207866669
144137,3656.0,40.722,-73.986
22025,3603.0,40.7647,-73.9240312
22281,538.0,40.75795248,-73.97787642
22281,538.0,40.75666,-73.976684
99081,3812.0,40.734814,-73.992085
99081,3812.0,40.734,-73.992
100105,260.0,40.70365182,-74.01167797
100105,260.0,40.704,-74.013
41737,3539.0,40.806,-73.962
41737,3539.0,40.8067581,-73.9607082
46345,3632.0,40.728048571362606,-73.978811502456665
245257,257.0,40.719,-74.001
245257,257.0,40.71939226,-74.00247214
10,4273.0,40.769219,-73.901001
20746,3918.0,40.72387,-73.975767
21514,3524.0,40.7774552,-73.9225403
110090,2023.0,40.75968085,-73.97031366
11,3636.0,40.707731483954696,-73.934522867202759
11,4288.0,40.774798,-73.903787
11,4251.0,40.836705668628042,-73.926088660955429
2827,3896.0,40.70183,-73.90625
69131,3431.0,40.746524,-73.977885
8459,3793.0,40.732339777151054,-73.978983834385872
216587,3282.0,40.782,-73.959
216587,3282.0,40.78307,-73.95939
24331,3491.0,40.79747,-73.93504
42251,3571.0,40.676368,-73.952918
12,3487.0,40.656595674820387,-74.008492827415466
1548,4099.0,40.834015,-73.908863
4108,3877.0,40.70555,-73.90245
70924,3400.0,40.797,-73.947
70924,3400.0,40.7961535,-73.94782145
19468,3265.0,40.7245634290432,-73.9894437789917
13,4260.0,40.769673,-73.906018
269,3594.0,40.6661649,-73.9593484
9229,4072.0,40.757936462436739,-73.979602754116058
27917,3919.0,40.70437,-74.00637
39949,3049.0,40.68488,-73.96304
14,3036.0,40.662907768316856,-73.999722003936768
14,3036.0,40.880920555238767,-73.896601796150208
14,3036.0,40.517975200388513,-74.0313720703125
14,3036.0,40.684868747593931,-74.025449752807617
4878,3765.0,40.709897,-73.94008
29454,3623.0,40.8109494,-73.9634
35342,3105.0,40.724055,-73.955736
438030,229.0,40.72743423,-73.99379025
320782,301.0,40.72217444,-73.98368779
320782,301.0,40.722,-73.983
15,4315.0,40.76072,-73.910989
527,4198.0,40.824811,-73.916407
1039,4074.0,40.838191,-73.936085
6159,4023.0,40.819241,-73.941057
270095,223.0,40.73781509,-73.99994661
17679,3075.0,40.70708701,-73.95796783
17679,3745.0,40.756512729849547,-73.929574862122521
29967,3122.0,40.744363287066882,-73.9558732509613
29967,3122.0,40.743,-73.956
55823,3437.0,40.793134809866629,-73.977003693580627
16,4319.0,40.757357,-73.904726
266768,412.0,40.7158155,-73.99422366
266768,412.0,40.716,-73.995
13840,3104.0,40.72057658,-73.96150225
24848,3065.0,40.70029511,-73.95032283
559376,358.0,40.734,-74.007
559376,358.0,40.73291553,-74.00711384
179216,386.0,40.71494807,-74.00234482
17,4387.0,40.644512,-74.021506
17,4318.0,40.755389,-73.911517
17,4261.0,40.774306,-73.908335
1041,3925.0,40.812304,-73.929153
140561,340.0,40.71269042,-73.98776323
11793,3756.0,40.704508,-73.9351
471569,281.0,40.7643971,-73.97371465
471569,281.0,40.764,-73.974
156177,427.0,40.701907,-74.013942
